under,top,pred_th
68,97,unknown
68,98,unknown
68,99,unknown
68,100,unknown
68,101,unknown
68,102,unknown
68,103,unknown
68,104,unknown
68,105,unknown
68,106,unknown
68,107,unknown
68,108,unknown
68,109,unknown
68,110,unknown
68,111,unknown
68,112,unknown
68,113,unknown
68,114,unknown
68,115,unknown
68,116,unknown
68,117,unknown
68,118,unknown
68,119,unknown
68,120,unknown
68,121,unknown
68,122,unknown
68,123,unknown
68,124,unknown
69,68,unknown
69,69,unknown
69,70,unknown
69,71,unknown
69,72,unknown
69,73,unknown
69,74,unknown
69,75,unknown
69,76,unknown
69,77,unknown
69,78,A
69,79,A
69,80,A
69,81,A
69,82,B
69,83,B
69,84,C
69,85,C
69,86,C
69,87,D
69,88,D
69,89,D
69,90,E
69,91,unknown
69,92,unknown
69,93,F
69,94,unknown
69,95,unknown
69,96,unknown
69,97,unknown
69,98,unknown
69,99,unknown
69,100,unknown
69,101,unknown
69,102,unknown
69,103,unknown
69,104,unknown
69,105,unknown
69,106,unknown
69,107,unknown
69,108,unknown
69,109,unknown
69,110,unknown
69,111,unknown
69,112,unknown
69,113,unknown
69,114,unknown
69,115,unknown
69,116,unknown
69,117,unknown
69,118,unknown
69,119,unknown
69,120,unknown
69,121,unknown
69,122,unknown
69,123,unknown
69,124,unknown
70,68,unknown
70,69,unknown
70,70,unknown
70,71,unknown
70,72,unknown
70,73,unknown
70,74,unknown
70,75,unknown
70,76,unknown
70,77,unknown
70,78,AA
70,79,A
70,80,A
70,81,A
70,82,B
70,83,B
70,84,C
70,85,C
70,86,C
70,87,D
70,88,D
70,89,D
70,90,E
70,91,E
70,92,F
70,93,F
70,94,F
70,95,unknown
70,96,unknown
70,97,unknown
70,98,unknown
70,99,unknown
70,100,unknown
70,101,unknown
70,102,unknown
70,103,unknown
70,104,unknown
70,105,unknown
70,106,unknown
70,107,unknown
70,108,unknown
70,109,unknown
70,110,unknown
70,111,unknown
70,112,unknown
70,113,unknown
70,114,unknown
70,115,unknown
70,116,unknown
70,117,unknown
70,118,unknown
70,119,unknown
70,120,unknown
70,121,unknown
70,122,unknown
70,123,unknown
70,124,unknown
71,68,unknown
71,69,unknown
71,70,unknown
71,71,unknown
71,72,unknown
71,73,unknown
71,74,unknown
71,75,unknown
71,76,unknown
71,77,unknown
71,78,A
71,79,A
71,80,A
71,81,A
71,82,B
71,83,B
71,84,B
71,85,C
71,86,C
71,87,D
71,88,D
71,89,D
71,90,E
71,91,unknown
71,92,unknown
71,93,F
71,94,unknown
71,95,unknown
71,96,unknown
71,97,unknown
71,98,unknown
71,99,unknown
71,100,unknown
71,101,unknown
71,102,unknown
71,103,unknown
71,104,unknown
71,105,unknown
71,106,unknown
71,107,unknown
71,108,unknown
71,109,unknown
71,110,unknown
71,111,unknown
71,112,unknown
71,113,unknown
71,114,unknown
71,115,unknown
71,116,unknown
71,117,unknown
71,118,unknown
71,119,unknown
71,120,unknown
71,121,unknown
71,122,unknown
71,123,unknown
71,124,unknown
72,68,unknown
72,69,unknown
72,70,unknown
72,71,unknown
72,72,unknown
72,73,unknown
72,74,unknown
72,75,unknown
72,76,unknown
72,77,unknown
72,78,unknown
72,79,A
72,80,A
72,81,A
72,82,unknown
72,83,B
72,84,unknown
72,85,C
72,86,unknown
72,87,unknown
72,88,unknown
72,89,unknown
72,90,unknown
72,91,unknown
72,92,unknown
72,93,unknown
72,94,unknown
72,95,unknown
72,96,unknown
72,97,unknown
72,98,unknown
72,99,unknown
72,100,unknown
72,101,unknown
72,102,unknown
72,103,unknown
72,104,unknown
72,105,unknown
72,106,unknown
72,107,unknown
72,108,unknown
72,109,unknown
72,110,unknown
72,111,unknown
72,112,unknown
72,113,unknown
72,114,unknown
72,115,unknown
72,116,unknown
72,117,unknown
72,118,unknown
72,119,unknown
72,120,unknown
72,121,unknown
72,122,unknown
72,123,unknown
72,124,unknown
73,68,unknown
73,69,unknown
73,70,unknown
73,71,unknown
73,72,unknown
73,73,unknown
73,74,unknown
73,75,unknown
73,76,unknown
73,77,unknown
73,78,unknown
73,79,unknown
73,80,A
73,81,unknown
73,82,unknown
73,83,unknown
73,84,A
73,85,A
73,86,A
73,87,unknown
73,88,B
73,89,unknown
73,90,C
73,91,unknown
73,92,unknown
73,93,unknown
73,94,unknown
73,95,unknown
73,96,unknown
73,97,unknown
73,98,unknown
73,99,unknown
73,100,unknown
73,101,unknown
73,102,unknown
73,103,unknown
73,104,unknown
73,105,unknown
73,106,unknown
73,107,unknown
73,108,unknown
73,109,unknown
73,110,unknown
73,111,unknown
73,112,unknown
